bit_position,original_bit,received_bit,bit_interval
1,1,1,254572
2,1,1,254400
3,1,1,254304
4,1,1,254354
5,1,1,254312
6,1,1,254314
7,0,0,252488
8,0,0,252496
9,0,0,252512
10,1,1,254340
11,1,1,254271
12,1,1,254295
13,1,1,254317
14,1,1,254313
15,0,0,252488
16,0,0,252496
17,0,0,252486
18,1,1,254230
19,1,1,254322
20,0,0,252492
21,1,1,254403
22,1,1,254360
23,1,1,254325
24,0,0,252496
25,0,0,252525
26,0,0,252471
27,0,0,252463
28,1,1,254405
29,0,0,252485
30,0,0,252471
31,1,1,254423
32,1,1,254337
33,0,0,252546
34,0,0,252471
35,0,0,252455
36,1,1,254382
37,1,1,254326
38,0,0,252497
39,1,1,254325
40,1,1,254290
41,0,0,252493
42,0,0,252499
43,1,1,254291
44,0,0,252496
45,0,0,252457
46,1,1,254397
47,0,0,252463
48,1,1,254332
49,1,1,254349
50,1,1,254287
51,0,0,252488
52,1,1,254354
53,0,0,252496
54,1,1,254198
55,1,1,254178
56,1,1,254305
57,1,1,254315
58,1,1,254309
59,1,1,254286
60,1,1,254299
61,0,0,252497
62,1,1,254307
63,1,1,254278
64,1,1,254310
65,1,1,254321
66,1,1,254300
67,0,0,252488
68,1,1,254313
69,0,0,252496
70,1,1,254297
71,0,0,252488
72,0,0,252496
73,1,1,254340
74,0,0,252496
75,0,0,252463
76,0,0,252471
77,0,0,252471
78,1,1,254342
79,1,1,254335
80,1,1,254350
81,1,1,254309
82,1,1,254314
83,0,0,252486
84,1,1,254372
85,0,0,252491
86,0,0,252506
87,1,1,254393
88,1,1,254328
89,1,1,254324
90,0,0,252496
91,1,1,254288
92,0,0,252510
93,0,0,252496
94,1,1,254254
95,0,0,252488
96,1,1,254359
97,0,0,252511
98,1,1,254375
99,1,1,254284
100,1,1,254171
101,1,1,254303
102,0,0,252496
103,1,1,254297
104,0,0,252492
105,1,1,254316
106,1,1,254281
107,0,0,252488
108,1,1,254291
109,0,0,252498
110,1,1,254284
111,0,0,252488
112,0,0,252496
113,0,0,252488
114,0,0,252471
115,0,0,252463
116,0,0,252471
117,1,1,254392
118,1,1,254333
119,1,1,254287
120,1,1,254307
121,1,1,254330
122,1,1,254308
123,1,1,254304
124,0,0,252497
125,1,1,254299
126,0,0,252496
127,0,0,252486
128,1,1,1264503
129,0,0,252907
130,0,0,252497
131,0,0,252471
132,1,1,254378
133,1,1,254230
134,1,1,254299
135,0,0,252496
136,0,0,252496
137,0,0,252484
138,1,1,254327
139,0,0,252467
140,1,1,254345
141,0,0,252466
142,1,1,254348
143,0,0,252471
144,1,1,254381
145,0,0,252486
146,0,0,252463
147,1,1,254328
148,1,1,254410
149,0,0,252496
150,0,0,252487
151,0,0,252471
152,0,0,252506
153,0,0,252486
154,0,0,252455
155,0,0,252471
156,1,1,254306
157,1,1,254314
158,0,0,252486
159,0,0,252471
160,0,0,252453
161,1,1,254336
162,0,0,252442
163,1,1,254344
164,0,0,252457
165,1,1,254343
166,0,0,252463
167,1,1,254224
168,0,0,252471
169,1,1,254356
170,1,1,254332
171,0,0,252496
172,1,1,254336
173,1,1,254315
174,1,1,254357
175,1,1,254311
176,1,1,254307
177,0,0,252511
178,0,0,252488
179,1,1,254331
180,1,1,254371
181,0,0,252490
182,0,0,252488
183,1,1,254380
184,0,0,252498
185,0,0,252484
186,0,0,252463
187,0,0,252471
188,1,1,254330
189,1,1,254322
190,1,1,254310
191,1,1,254289
192,0,0,252496
193,0,0,252511
194,0,0,252463
195,0,0,252471
196,0,0,252471
197,0,0,252471
198,1,1,254325
199,1,1,254338
200,1,1,254299
201,1,1,254322
202,0,0,252486
203,1,1,254316
204,0,0,252491
205,1,1,254360
206,0,0,252483
207,1,1,254318
208,1,1,254198
209,0,0,252511
210,1,1,254295
211,0,0,252510
212,1,1,254316
213,1,1,254337
214,0,0,252488
215,0,0,252531
216,1,1,254293
217,0,0,252503
218,0,0,252463
219,0,0,252464
220,1,1,254342
221,1,1,254392
222,0,0,252488
223,1,1,254316
224,1,1,254308
225,0,0,252491
226,1,1,254376
227,0,0,252482
228,1,1,254306
229,0,0,252480
230,1,1,254290
231,1,1,254304
232,0,0,252498
233,0,0,252511
234,1,1,254326
235,0,0,252496
236,1,1,254344
237,1,1,254285
238,0,0,252488
239,0,0,252496
240,1,1,254348
241,0,0,252511
242,0,0,252462
243,1,1,254344
244,1,1,254339
245,0,0,252496
246,0,0,252461
247,0,0,252473
248,0,0,252464
249,0,0,252487
250,0,0,252463
251,1,1,254334
252,0,0,252471
253,1,1,254338
254,1,1,254321
255,0,0,252496
256,0,0,252471
257,1,1,1264498
258,0,0,252886
259,1,1,254372
260,0,0,252466
261,0,0,252481
262,0,0,252471
263,0,0,252485
264,0,0,252471
265,1,1,254412
266,1,1,254405
267,1,1,254318
268,1,1,254371
269,0,0,252512
270,1,1,254363
271,0,0,252531
272,0,0,252496
273,1,1,254340
274,0,0,252496
275,1,1,254317
276,1,1,254297
277,0,0,252486
278,0,0,252496
279,1,1,254313
280,1,1,254316
281,1,1,254357
282,1,1,254308
283,1,1,254335
284,0,0,252496
285,0,0,252488
286,1,1,254161
287,0,0,252496
288,0,0,252474
289,1,1,254248
290,0,0,252471
291,1,1,254221
292,1,1,254181
293,1,1,254132
294,1,1,254144
295,1,1,254136
296,1,1,254144
297,0,0,252503
298,0,0,252495
299,1,1,254162
300,0,0,252490
301,0,0,252463
302,0,0,252469
303,0,0,252473
304,1,1,254064
305,1,1,254177
306,1,1,254024
307,0,0,252496
308,1,1,254151
309,0,0,252488
310,0,0,252496
311,0,0,252471
312,1,1,254173
313,1,1,254184
314,0,0,252496
315,0,0,252471
316,0,0,252471
317,0,0,252463
318,1,1,254169
319,1,1,254170
320,0,0,252497
321,0,0,252476
322,0,0,252479
323,0,0,252466
324,0,0,252481
325,0,0,252458
326,0,0,252485
327,1,1,254177
328,1,1,254169
329,0,0,252503
330,1,1,254182
331,0,0,252496
332,1,1,254204
333,0,0,252488
334,0,0,252506
335,0,0,252471
336,1,1,254152
337,0,0,252478
338,0,0,252464
339,1,1,254050
340,1,1,254178
341,0,0,252488
342,1,1,254169
343,0,0,252498
344,0,0,252451
345,1,1,254022
346,0,0,252457
347,1,1,254013
348,1,1,254004
349,0,0,252488
350,1,1,254008
351,1,1,253871
352,1,1,253982
353,0,0,252503
354,0,0,252496
355,1,1,254024
356,0,0,252496
357,0,0,252463
358,1,1,254020
359,0,0,252470
360,1,1,254008
361,1,1,254023
362,1,1,254051
363,0,0,252492
364,0,0,252496
365,1,1,254008
366,0,0,252498
367,1,1,254000
368,1,1,253975
369,0,0,252503
370,0,0,252496
371,0,0,252471
372,0,0,252471
373,1,1,254069
374,1,1,254015
375,1,1,253989
376,0,0,252496
377,0,0,252503
378,1,1,254018
379,1,1,253990
380,0,0,252496
381,0,0,252488
382,0,0,252471
383,1,1,254021
384,1,1,254007
385,1,1,254002
386,1,1,1264621
387,0,0,474522
388,1,1,254367
389,0,0,252497
390,0,0,252482
391,0,0,252472
392,1,1,254404
393,0,0,252486
394,1,1,254319
395,1,1,254228
396,0,0,252496
397,0,0,252471
398,1,1,254328
