{unroll_fact}_{algo_trigger_point}_{error_corr_iterations}_{other_blocks_previous}   {arr_size}
16_128_4_31 261624
16_128_12_326 259264
16_256_5_31 261624
16_512_9_31 261624
16_256_25_326 259264
16_512_98_326 259264
256_128_4_31 261288
128_128_4_31 261440
64_128_4_31 261520
32_128_4_31 261560
256_256_5_31 261288
256_512_9_31 261288
128_256_5_31 261440
128_512_9_31 261440
64_256_5_31 261520
64_512_9_31 261520
32_256_5_31 261560
32_512_9_31 261560
256_128_12_326 258928
128_128_12_326 259080
64_128_12_326 259160
32_128_12_326 259200
256_128_18_326 258928
128_128_14_163 129312
128_128_12_652 518616
128_128_17_163 129312
128_128_15_652 518616
64_128_13_326 259160
128_128_13_326 259080
256_128_30_326 258928
