arr_size_multiples,rand_seed,num_iterations,LLC_OCCUPANCY,Total_cycles,LLC_Filling_cycles,Thrashing_cycles,Probe_cycles
1,31988,1,20725,5061794,525397,524416,4011981
1,17820,2,25795,5062957,525397,829344,3708216
1,18921,3,27849,5162465,525397,1064155,3572913
1,30313,4,28895,5316952,525397,1285527,3506028
1,28165,5,29696,5459605,525397,1492403,3441805
1,17514,6,30111,5668876,525435,1707820,3435621
1,30642,7,30568,5845565,525397,1916628,3403540
1,31638,8,30853,5994300,525397,2123320,3345583
1,2703,9,30969,6218163,525435,2326793,3365935
1,2697,10,31161,6375315,525397,2531283,3318635
1,10773,11,31329,6550581,525397,2724527,3300657
1,27503,12,31420,6732888,525435,2915714,3291739
1,11468,13,31530,6943577,525397,3107881,3310299
1,21042,14,31631,7118836,525435,3296962,3296439
1,4525,15,31705,7272488,525397,3483451,3263640
1,4329,16,31765,7449743,525397,3675646,3248700
1,18819,17,31822,7626725,525397,3856279,3245049
1,2519,18,31862,7812057,525397,4045876,3240784
1,29129,19,31892,7983220,525397,4219978,3237845
1,14790,20,31964,8146215,525397,4393022,3227796
1,10541,21,31994,8347290,525397,4565267,3256626
1,4497,22,32010,8471793,525397,4724543,3221853
1,21139,23,32068,8643452,525435,4903285,3214732
1,290,24,32107,8796983,525435,5035445,3236103
1,14685,25,32109,8954594,525397,5221607,3207590
1,1871,26,32145,9106266,525397,5376659,3204210
1,29394,27,32175,9279743,525435,5553922,3200386
1,22373,28,32192,9442885,525397,5717669,3199819
1,24768,29,32210,9591450,525435,5868923,3197092
1,29290,30,32241,9732781,525397,6014791,3192593
1,29631,31,32244,9907400,525435,6190967,3190998
1,19943,32,32278,10031589,525397,6319739,3186453
1,2983,33,32290,10213651,525397,6469059,3219195
1,8000,34,32308,10335868,525397,6627322,3183149
1,29242,35,32303,10500074,525435,6791454,3183185
1,14280,36,32334,10667277,525435,6963372,3178470
1,16778,37,32323,10818005,525435,7112902,3179668
1,20594,38,32327,10962829,525397,7256461,3180971
1,30064,39,32349,11080207,525459,7362156,3192592
1,9398,40,32368,11253306,525397,7521231,3206678
1,32297,41,32362,11370736,525397,7669733,3175606
1,23451,42,32394,11451528,525435,7755051,3171042
1,2390,43,32414,11596268,525397,7896160,3174711
1,8605,44,32387,11790643,525535,8061300,3203808
1,11118,45,32415,11918172,525435,8225931,3166806
1,3366,46,32419,12056848,525459,8334266,3197123
1,1615,47,32425,12181603,525435,8462327,3193841
1,25980,48,32422,12355342,525421,8634733,3195188
1,18130,49,32440,12437774,525397,8748223,3164154
1,14954,50,32445,12607218,525397,8885997,3195824
1,10183,51,32467,12629940,525397,8913031,3191512
1,18106,52,32472,12869662,525435,9156397,3187830
1,16108,53,32465,12978218,525435,9268661,3184122
1,20748,54,32445,13144180,525397,9455476,3163307
1,14814,55,32486,13185045,525397,9501824,3157824
1,14887,56,32478,13360537,525397,9677111,3158029
1,9007,57,32480,13509809,525397,9794032,3190380
1,22730,58,32482,13601335,525397,9918868,3157070
1,6950,59,32507,13670760,525397,9991305,3154058
1,12247,60,32505,13894005,525435,10182156,3186414
