invalid_block_priority,Initially_allocated_array_size(x_times_of_LLC),num_IO_calls,number_of_times_IO_buffer_accessed_in_a_IO_call,portion_of_array_invalidated_&_accessed_in_a_IO_call,miss_for_IO_call_1,miss_for_IO_call_2,miss_for_IO_call_3,miss_for_IO_call_4,miss_for_IO_call_5,miss_for_IO_call_6,miss_for_IO_call_7,miss_for_IO_call_8,miss_for_IO_call_9,miss_for_IO_call_10,miss_for_IO_call_11,miss_for_IO_call_12,miss_for_IO_call_13,miss_for_IO_call_14,miss_for_IO_call_15,miss_for_IO_call_16,miss_for_IO_call_17,miss_for_IO_call_18,miss_for_IO_call_19,miss_for_IO_call_20
0,1,20,2,0.125,4348,4335,4392,4377,4369,4359,4376,4358,4347,4374,4401,4369,4378,4351,4356,4350,4359,4362,4371,4371
1,1,20,2,0.125,4096,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095
0,1,20,2,0.25,9279,9304,9275,9273,9328,9328,9253,9280,9280,9316,9295,9266,9279,9316,9242,9265,9313,9254,9244,9324
1,1,20,2,0.25,8191,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190
0,1,20,2,0.5,20938,20873,20955,20959,20970,20952,20907,20915,20947,20855,20972,20933,20835,20955,20908,20995,20900,21005,20873,21025
1,1,20,2,0.5,16381,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380
0,1,20,2,0.75,34755,34768,34784,34949,34718,34694,34821,34653,34734,34831,34676,34900,34870,34826,34720,34787,34968,34803,34822,34812
1,1,20,2,0.75,24571,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570
0,1,20,2,1,50403,50461,50566,50440,50407,50568,50538,50540,50683,50494,50540,50762,50429,50534,50473,50474,50347,50473,50374,50596
1,1,20,2,1,32760,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759
0,2,20,2,1,120640,120831,120790,120751,120618,120758,120661,120637,120881,120624,120534,120587,120644,120573,120707,120758,120583,120736,120680,120820
1,2,20,2,1,115927,116001,115923,116018,115880,115955,115988,116022,116001,116038,115968,115978,116004,116026,115949,116107,116038,115752,116110,116087
0,1,20,4,0.125,4363,4348,4415,4391,4383,4366,4393,4372,4369,4391,4418,4381,4393,4360,4357,4362,4369,4383,4390,4384
