Initially_allocated_array_size(x_times_of_LLC),num_IO_calls,number_of_times_IO_buffer_accessed_in_a_IO_call,portion_of_array_invalidated_&_accessed_in_a_IO_call,ipc_dont_prioritize_invalid_LLC_ways,ipc_prioritize_invalid_LLC_ways,normalized_ipc,LLC_occupancy_dont_prioritize_invalid_LLC_ways,LLC_occupancy_prioritize_invalid_LLC_ways,IO_instructions_count_dont_prioritize_invalid_LLC_ways,IO_instructions_count_prioritize_invalid_LLC_ways,IO_cpu_cyles_dont_prioritize_invalid_LLC_ways,IO_cpu_cycles_prioritize_invalid_LLC_ways
1,20,2,0.125,0.443367,0.453713,0.98,6123,32767,819400,819400,1848130,1805988
1,20,2,0.25,0.432095,0.454129,0.95,8182,32767,1638400,1638400,3791756,3607788
1,20,2,0.5,0.421611,0.454289,0.93,15469,32767,3276400,3276400,7771138,7212154
1,20,2,0.75,0.408627,0.454343,0.90,21406,32767,4914400,4914400,12026629,10816508
1,20,2,1,0.390343,0.454407,0.86,25798,32767,6552180,6552180,16785694,14419188
1,20,4,0.125,0.581948,0.587937,0.99,6118,32767,1638720,1638720,2815923,2787239
1,20,4,0.25,0.575965,0.588087,0.98,8269,32767,3276720,3276720,5689093,5571833
1,20,4,0.5,0.554124,0.588118,0.94,16311,32767,6552720,6552720,11825370,11141850
1,20,4,0.75,0.51408,0.588132,0.87,23765,32767,9828720,9828720,19119058,16711753
1,20,4,1,0.485475,0.588162,0.83,28983,32767,13104300,13104300,26992719,22280079
1,20,6,0.125,0.647565,0.652347,0.99,6118,32767,2458040,2458040,3795820,3767993
1,20,6,0.25,0.64271,0.652261,0.99,8272,32767,4915040,4915040,7647365,7535393
1,20,6,0.5,0.628721,0.652182,0.96,16379,32767,9829040,9829040,15633386,15071016
1,20,6,0.75,0.586618,0.652159,0.90,24307,32767,14743040,14743040,25132263,22606513
1,20,6,1,0.535202,0.652148,0.82,30253,32767,19656420,19656420,36727108,30141039
1,20,8,0.125,0.686128,0.690152,0.99,6118,32767,3277360,3277360,4776600,4748753
1,20,8,0.25,0.681866,0.689903,0.99,8272,32767,6553360,6553360,9610927,9498953
1,20,8,0.5,0.670332,0.68975,0.97,16383,32767,13105360,13105360,19550546,19000170
1,20,8,0.75,0.641093,0.689701,0.93,24493,32767,19657360,19657360,30662236,28501279
1,20,8,1,0.567339,0.689662,0.82,30788,32767,26208540,26208540,46195519,38001999
