bit_position,bit_interval,receiver_interval,sender_interval
0,249740,249573,167
1,249707,249596,111
2,249641,249565,76
3,249618,249542,76
4,249623,249547,76
5,252190,251491,699
6,251916,251353,563
7,251862,251329,533
8,252049,251467,582
9,249663,249562,101
10,251767,251199,568
11,249645,249544,101
12,251847,251311,536
13,249677,249576,101
14,251868,251296,572
15,251845,251309,536
16,249646,249530,116
17,251843,251289,554
18,251856,251321,535
19,249647,249546,101
20,249646,249545,101
21,251898,251323,575
22,251820,251287,533
23,251867,251309,558
24,251866,251319,547
25,251706,251152,554
26,249681,249580,101
27,251673,251137,536
28,251582,251005,577
29,251720,251184,536
30,249643,249542,101
31,249647,249546,101
32,249628,249537,91
33,249631,249555,76
34,251512,250953,559
35,251697,251137,560
36,251677,251121,556
37,251714,251162,552
38,249647,249546,101
39,249651,249550,101
40,249630,249539,91
41,249625,249549,76
42,249652,249576,76
43,251715,251134,581
44,251722,251159,563
45,251737,251167,570
46,251654,251118,536
47,249656,249555,101
48,249652,249536,116
49,249623,249547,76
50,249663,249587,76
51,249618,249542,76
52,249618,249542,76
53,251722,251159,563
54,249616,249540,76
55,249635,249559,76
56,251700,251098,602
57,251589,251010,579
58,251614,251081,533
59,251655,251122,533
60,249648,249547,101
61,249680,249579,101
62,251685,251114,571
63,249658,249557,101
64,251699,251121,578
65,249647,249546,101
66,251718,251159,559
67,251665,251130,535
68,251684,251151,533
69,249679,249578,101
70,251653,251117,536
71,251679,251142,537
72,249652,249536,116
73,249656,249555,101
74,251653,251066,587
75,251578,251008,570
76,251520,250985,535
77,251549,251013,536
78,249634,249533,101
79,249668,249567,101
80,249625,249534,91
81,251517,250954,563
82,251586,250998,588
83,251337,250804,533
84,249653,249552,101
85,251584,251012,572
86,251539,250971,568
87,249660,249559,101
88,251503,250953,550
89,251542,251006,536
90,249677,249576,101
91,251338,250802,536
92,249653,249552,101
93,249677,249576,101
94,249618,249542,76
95,249634,249558,76
96,249619,249528,91
97,251299,250704,595
98,251406,250843,563
99,249638,249537,101
100,251378,250815,563
101,249676,249575,101
102,249618,249542,76
103,251272,250668,604
104,251250,250648,602
105,251256,250686,570
106,251242,250686,556
107,249643,249542,101
108,250943,250387,556
109,250980,250410,570
110,249643,249542,101
111,249654,249553,101
112,249616,249525,91
113,251073,250510,563
114,249651,249575,76
115,251061,250498,563
116,249625,249549,76
117,251017,250414,603
118,251045,250483,562
119,249656,249555,101
120,251054,250476,578
121,251074,250502,572
122,251062,250526,536
123,249643,249542,101
124,251040,250504,536
125,249668,249567,101
126,251027,250491,536
127,249678,249577,101
128,249652,249576,76
129,249582,249506,76
130,249655,249579,76
131,252022,251459,563
132,249597,249521,76
133,251917,251354,563
134,249658,249567,91
135,249601,249525,76
136,251945,251366,579
137,249589,249513,76
138,249654,249578,76
139,249641,249565,76
140,249597,249521,76
141,251942,251383,559
142,249662,249571,91
143,251900,251337,563
144,249650,249574,76
145,249589,249513,76
146,251923,251360,563
147,249643,249567,76
148,251981,251421,560
149,251811,251223,588
150,251901,251315,586
151,249628,249527,101
152,251886,251314,572
153,251840,251264,576
154,251726,251190,536
155,251698,251162,536
156,249626,249525,101
157,251604,251072,532
158,251741,251153,588
159,249623,249522,101
160,251689,251153,536
161,251543,251007,536
162,249677,249576,101
163,251680,251148,532
164,249625,249524,101
165,249663,249562,101
166,249667,249576,91
167,249597,249521,76
168,251732,251145,587
169,251668,251105,563
170,251716,251164,552
171,251708,251175,533
172,251675,251139,536
173,251637,251069,568
174,249693,249577,116
175,251554,250998,556
176,251598,251063,535
177,249619,249518,101
178,249671,249570,101
179,249652,249576,76
180,251670,251111,559
181,249633,249557,76
182,249666,249575,91
183,249597,249521,76
184,249652,249576,76
185,249591,249515,76
186,249644,249568,76
187,249663,249587,76
188,251687,251124,563
189,251623,251030,593
190,251650,251068,582
191,251386,250854,532
192,249681,249580,101
193,251501,250963,538
194,251561,250993,568
195,251551,251015,536
196,251527,250969,558
197,249669,249568,101
198,251608,251020,588
199,251515,250939,576
200,249679,249578,101
201,249614,249513,101
202,249643,249567,76
203,251477,250914,563
204,249599,249523,76
205,249644,249568,76
206,251606,250998,608
207,249586,249510,76
208,251558,250995,563
209,251343,250781,562
210,249677,249576,101
211,249650,249574,76
212,249593,249517,76
213,251305,250742,563
214,249668,249577,91
215,249588,249512,76
216,249664,249588,76
217,251346,250787,559
218,249652,249576,76
219,251267,250705,562
220,251220,250623,597
221,249674,249573,101
222,251288,250694,594
223,251197,250645,552
224,251231,250695,536
225,251171,250619,552
226,251240,250704,536
227,249677,249576,101
228,249609,249508,101
229,251238,250675,563
230,249692,249576,116
231,249597,249521,76
232,251314,250719,595
233,249583,249507,76
234,251247,250684,563
235,251163,250568,595
236,251090,250516,574
237,251243,250707,536
238,251121,250571,550
239,249622,249521,101
240,251239,250706,533
241,251177,250624,553
242,251246,250678,568
243,251242,250681,561
244,249622,249521,101
245,249680,249579,101
246,251256,250678,578
247,251150,250618,532
248,249675,249574,101
249,251188,250620,568
250,249682,249581,101
251,251237,250693,544
252,249618,249517,101
253,251229,250669,560
254,252022,251486,536
255,251927,251355,572
256,249617,249516,101
257,249685,249584,101
258,249629,249553,76
259,249604,249528,76
260,249667,249576,91
261,249630,249554,76
262,249602,249526,76
263,249652,249576,76
264,252003,251440,563
265,252057,251494,563
266,249652,249551,101
267,249609,249533,76
268,251683,251081,602
269,249640,249564,76
270,249603,249527,76
271,249651,249575,76
272,251683,251120,563
273,251731,251168,563
274,251700,251141,559
275,249634,249533,101
276,249688,249572,116
277,249641,249565,76
278,251673,251110,563
279,251349,250752,597
280,249622,249521,101
281,251572,251010,562
282,249651,249550,101
283,249611,249535,76
284,249666,249575,91
285,251575,250987,588
286,249606,249530,76
287,251544,250981,563
288,251566,250971,595
289,251582,251022,560
290,251371,250815,556
291,251359,250824,535
292,251425,250851,574
293,249664,249563,101
294,249625,249524,101
295,249643,249567,76
296,251391,250788,603
297,251264,250671,593
298,249658,249557,101
299,251200,250638,562
300,249681,249565,116
301,249641,249565,76
302,249600,249524,76
303,251245,250685,560
304,251216,250653,563
305,251219,250687,532
306,251187,250654,533
307,251187,250651,536
308,251067,250517,550
309,251081,250513,568
310,251030,250494,536
311,249678,249577,101
312,249624,249523,101
313,251091,250532,559
314,249658,249557,101
315,249610,249534,76
316,250983,250405,578
317,251094,250531,563
318,249625,249524,101
319,250967,250408,559
320,249624,249523,101
321,249641,249565,76
322,251012,250417,595
323,249608,249532,76
324,251100,250525,575
325,249645,249569,76
326,249594,249518,76
327,249652,249576,76
328,250932,250369,563
329,249643,249567,76
330,249637,249561,76
331,251095,250491,604
332,249667,249576,91
333,251066,250507,559
334,250945,250341,604
335,249678,249577,101
336,249597,249521,76
337,250937,250374,563
338,249636,249560,76
339,249612,249536,76
340,249669,249578,91
341,249641,249565,76
342,249591,249515,76
343,250944,250382,562
344,249599,249523,76
345,249652,249576,76
346,249633,249557,76
347,249597,249521,76
348,249667,249576,91
349,250925,250362,563
350,249595,249519,76
351,250952,250363,589
352,249595,249519,76
353,249652,249576,76
354,249633,249557,76
355,250887,250324,563
356,249673,249582,91
357,249641,249565,76
358,250899,250336,563
359,250934,250375,559
360,249616,249515,101
361,249652,249576,76
362,250925,250362,563
363,249603,249527,76
364,249669,249578,91
365,250922,250363,559
366,250928,250324,604
367,250915,250379,536
368,249615,249514,101
369,250808,250271,537
370,249658,249557,101
371,249633,249532,101
372,250957,250379,578
373,249667,249566,101
374,250881,250317,564
375,250900,250364,536
376,250850,250314,536
377,249679,249578,101
378,250889,250354,535
379,249633,249532,101
380,250938,250388,550
381,249681,249580,101
382,251999,251436,563
383,252014,251458,556
384,252008,251472,536
385,252002,251466,536
386,251904,251322,582
387,251997,251461,536
388,249679,249578,101
389,251971,251418,553
390,249668,249567,101
391,251869,251334,535
392,252008,251472,536
393,249658,249557,101
394,251833,251287,546
395,249666,249565,101
396,249681,249580,101
397,249596,249520,76
398,252023,251460,563
399,252009,251446,563
400,249668,249567,101
401,249634,249558,76
402,252049,251439,610
403,249642,249566,76
404,252052,251489,563
405,251712,251150,562
406,249666,249565,101
407,249608,249532,76
408,251918,251343,575
409,251550,250988,562
410,251660,251113,547
411,249666,249565,101
412,251573,251012,561
413,249614,249513,101
414,249673,249572,101
415,249608,249532,76
416,251464,250902,562
417,251599,250996,603
418,249642,249526,116
419,249643,249567,76
420,251404,250841,563
421,251395,250792,603
422,251380,250844,536
423,251342,250809,533
424,249677,249576,101
425,251375,250839,536
426,251352,250802,550
427,249666,249565,101
428,249677,249576,101
429,249595,249519,76
430,251405,250845,560
431,249606,249530,76
432,251438,250879,559
433,251279,250716,563
434,249639,249523,116
435,249645,249569,76
436,251450,250855,595
437,249600,249524,76
438,251400,250837,563
439,251093,250533,560
440,251219,250683,536
441,249658,249557,101
442,249643,249527,116
443,249647,249571,76
444,249650,249574,76
445,249600,249524,76
446,249642,249566,76
447,251093,250489,604
448,249656,249580,76
449,251081,250518,563
450,249619,249528,91
451,249644,249568,76
452,251085,250522,563
453,249600,249524,76
454,250988,250426,562
455,249609,249533,76
456,249656,249580,76
457,251071,250508,563
458,249623,249532,91
459,250934,250347,587
460,250944,250381,563
461,250704,250168,536
462,249662,249561,101
463,250712,250176,536
464,249680,249579,101
465,249652,249551,101
466,249623,249532,91
467,249639,249563,76
468,249643,249567,76
469,250737,250174,563
470,250763,250204,559
471,250743,250171,572
472,250736,250204,532
473,249647,249546,101
474,250730,250180,550
475,250735,250199,536
476,250782,250212,570
477,249632,249531,101
478,250732,250200,532
479,249629,249528,101
480,249676,249575,101
481,249622,249546,76
482,250758,250181,577
483,250759,250196,563
484,249685,249584,101
485,249602,249526,76
486,250793,250206,587
487,250721,250161,560
488,249677,249576,101
489,249632,249556,76
490,249627,249536,91
491,250760,250197,563
492,249652,249576,76
493,250723,250160,563
494,250763,250200,563
495,250687,250151,536
496,249675,249574,101
497,250714,250178,536
498,249651,249535,116
499,249658,249557,101
500,250778,250215,563
501,250586,250049,537
502,249657,249556,101
503,249637,249536,101
504,249650,249574,76
505,249633,249557,76
506,249625,249534,91
507,249630,249554,76
508,251944,251381,563
509,249644,249568,76
510,249608,249532,76
511,251822,251269,553
